1537354087199;-15756;-4140;5016
1537354087201;-15568;-4156;5092
1537354087203;-15716;-4140;5156
1537354087205;-15660;-4148;5032
1537354087207;-15520;-4028;5148
1537354087210;-15480;-4092;5164
1537354087212;-15520;-4064;5084
1537354087214;-15540;-4000;5100
1537354087216;-15568;-3964;5200
1537354087218;-15532;-4040;5028
1537354087220;-15424;-3832;4972
1537354087222;-15464;-3876;5104
1537354087224;-15520;-3888;4924
1537354087226;-15512;-3828;4968
1537354087228;-15552;-3808;4756
1537354087230;-15476;-3804;4832
1537354087232;-15680;-3724;4712
1537354087234;-15604;-3764;4712
1537354087237;-15592;-3708;4532
1537354087239;-15652;-3676;4716
1537354087241;-15700;-3868;4436
1537354087243;-15632;-3768;4384
1537354087245;-15828;-3872;4528
1537354087247;-15660;-3864;4300
1537354087249;-15776;-3900;4424
1537354087251;-15684;-3924;4220
1537354087253;-15772;-4008;4184
1537354087255;-15708;-4100;4248
1537354087257;-15760;-4000;4096
1537354087259;-15756;-4072;4216
1537354087262;-15840;-4152;4224
1537354087264;-15800;-4036;4220
1537354087266;-15800;-4040;4072
1537354087268;-15716;-4136;4120
1537354087270;-15856;-4236;4144
1537354087272;-15876;-4152;4172
1537354087274;-15884;-4260;4156
1537354087276;-15792;-4188;4120
1537354087278;-15852;-4268;4228
1537354087280;-15740;-4148;4120
1537354087282;-15736;-4140;4140
1537354087284;-15728;-4240;4008
1537354087287;-15752;-3980;4000
1537354087289;-15696;-4008;4112
1537354087291;-15608;-4052;4152
1537354087293;-15624;-3900;4220
1537354087295;-15676;-4040;4196
1537354087297;-15448;-3796;4228
1537354087299;-15592;-3796;4404
1537354087301;-15440;-3708;4472
1537354087303;-15412;-3712;4424
1537354087305;-15340;-3660;4420
1537354087307;-15244;-3588;4568
1537354087309;-15244;-3636;4728
1537354087311;-15380;-3616;4596
1537354087313;-15316;-3528;4624
1537354087316;-15312;-3560;4708
1537354087318;-15208;-3488;4708
1537354087320;-15356;-3532;4780
1537354087322;-15272;-3488;4872
1537354087324;-15204;-3564;4888
1537354087326;-15352;-3624;4784
1537354087328;-15388;-3704;4800
1537354087330;-15280;-3680;4932
1537354087332;-15312;-3748;4904
1537354087334;-15420;-3588;5096
1537354087336;-15292;-3708;4956
1537354087339;-15344;-3748;4868
1537354087341;-15340;-3736;5120
1537354087343;-15428;-3768;5136
1537354087345;-15456;-3780;5168
1537354087347;-15324;-3792;5092
1537354087349;-15472;-3788;5036
1537354087351;-15492;-3748;5200
1537354087353;-15484;-3756;5148
1537354087355;-15372;-3836;5292
1537354087357;-15388;-3684;5268
1537354087359;-15420;-3776;5188
1537354087361;-15420;-3692;5304
1537354087363;-15292;-3800;5352
1537354087366;-15476;-3728;5368
1537354087368;-15364;-3712;5324
1537354087370;-15520;-3712;5208
1537354087372;-15436;-3752;5316
1537354087374;-15448;-3756;5232
1537354087376;-15316;-3764;5352
1537354087378;-15348;-3664;5296
1537354087380;-15232;-3684;5296
1537354087382;-15364;-3704;5296
1537354087384;-15324;-3588;5420
1537354087386;-15224;-3792;5108
1537354087388;-15440;-3676;5416
1537354087391;-15260;-3640;5196
1537354087393;-15232;-3556;5176
1537354087395;-15324;-3576;5268
1537354087397;-15308;-3496;5328
1537354087399;-15224;-3492;5216
1537354087401;-15316;-3484;5136
1537354087403;-15388;-3504;5244
1537354087405;-15364;-3620;5224
1537354087407;-15420;-3448;5232
1537354087409;-15336;-3436;5240
1537354087411;-15372;-3428;5160
1537354087413;-15404;-3488;5284
1537354087415;-15420;-3428;5148
1537354087418;-15436;-3460;4956
1537354087420;-15308;-3468;5140
1537354087422;-15416;-3324;5240
1537354087424;-15428;-3444;5188
1537354087426;-15368;-3328;4964
1537354087428;-15464;-3408;5132
1537354087430;-15432;-3348;5032
1537354087432;-15372;-3436;5048
1537354087434;-15280;-3392;5072
1537354087436;-15408;-3352;5012
1537354087438;-15372;-3356;5100
1537354087440;-15324;-3480;4908
1537354087442;-15292;-3488;4956
1537354087445;-15448;-3456;4960
1537354087447;-15260;-3428;5056
1537354087449;-15396;-3536;4984
1537354087451;-15284;-3500;4932
1537354087453;-15308;-3584;5092
1537354087455;-15268;-3744;4960
1537354087457;-15224;-3656;4956
1537354087459;-15388;-3800;5100
1537354087461;-15288;-3768;4924
1537354087464;-15276;-3768;4952
1537354087465;-15260;-3800;5096
1537354087467;-15328;-3872;5076
1537354087470;-15400;-3752;5036
1537354087472;-15388;-3868;5112
1537354087474;-15452;-3860;4984
1537354087476;-15376;-3876;5060
1537354087478;-15464;-3980;5132
1537354087480;-15440;-3916;5004
1537354087482;-15476;-3904;5156
1537354087484;-15584;-4024;5012
1537354087486;-15536;-3944;5188
1537354087488;-15392;-3896;5272
1537354087490;-15516;-3832;5196
1537354087492;-15468;-3956;5268
1537354087494;-15364;-3840;5348
1537354087497;-15348;-3944;5304
1537354087499;-15268;-3900;5400
1537354087501;-15472;-3824;5476
1537354087503;-15484;-3756;5312
1537354087505;-15356;-3616;5336
1537354087507;-15420;-3536;5328
1537354087509;-15448;-3596;5388
1537354087511;-15384;-3672;5548
1537354087513;-15488;-3600;5480
1537354087515;-15416;-3576;5472
1537354087517;-15344;-3516;5560
1537354087519;-15388;-3516;5444
1537354087522;-15480;-3448;5480
1537354087524;-15352;-3364;5504
1537354087526;-15392;-3544;5448
1537354087528;-15436;-3396;5540
1537354087530;-15468;-3316;5696
1537354087532;-15460;-3296;5592
1537354087534;-15416;-3312;5772
1537354087536;-15464;-3368;5736
1537354087539;-15476;-3408;5616
1537354087540;-15420;-3248;5712
1537354087542;-15408;-3260;5752
1537354087544;-15380;-3396;5640
1537354087546;-15484;-3504;5776
1537354087549;-15528;-3496;5784
1537354087551;-15420;-3456;5752
1537354087553;-15524;-3460;5932
1537354087555;-15500;-3468;5800
1537354087557;-15520;-3612;5896
1537354087559;-15460;-3696;5764
1537354087561;-15544;-3688;5932
1537354087563;-15376;-3612;5856
1537354087565;-15476;-3712;5856
1537354087567;-15444;-3608;5856
1537354087569;-15312;-3660;5784
1537354087571;-15432;-3716;5824
1537354087574;-15452;-3660;5788
1537354087576;-15320;-3704;5756
1537354087578;-15332;-3784;5820
1537354087580;-15288;-3736;5872
1537354087582;-15372;-3572;5928
1537354087584;-15256;-3680;5648
1537354087586;-15412;-3636;5700
1537354087588;-15232;-3676;5824
1537354087590;-15224;-3740;5868
1537354087592;-15384;-3768;5924
1537354087594;-15296;-3724;6000
1537354087596;-15304;-3808;6048
1537354087598;-15364;-3896;5920
1537354087601;-15408;-3900;6136
1537354087603;-15396;-3780;6108
